Claimant count by sex and age,,,
ONS Crown Copyright Reserved [from Nomis on 20 January 2016],,,
,,,
gender,Total,,
age,All categories: Age 16+,,
measure,Claimant count,,
,,,
2011 super output area - lower layer,December 2013,December 2014,December 2015
Preston 001A,10,5,5
Preston 001B,5,0,5
Preston 001C,5,5,5
Preston 002A,5,5,5
Preston 002B,5,5,10
Preston 002C,10,5,5
Preston 002D,5,5,0
Preston 003A,10,10,5
Preston 003B,10,5,5
Preston 003C,15,10,5
Preston 003D,10,5,5
Preston 003E,5,10,10
Preston 003F,10,5,5
Preston 004A,5,5,5
Preston 004B,5,5,5
Preston 004C,5,5,5
Preston 004D,25,20,20
Preston 004E,15,10,10
Preston 005A,45,35,40
Preston 005B,25,25,25
Preston 005C,30,25,30
Preston 005D,30,25,20
Preston 006A,15,10,5
Preston 006B,15,5,5
Preston 006C,5,5,5
Preston 006D,20,20,15
Preston 006E,15,5,10
Preston 007A,20,10,25
Preston 007B,10,5,15
Preston 007C,35,15,15
Preston 007D,50,20,25
Preston 007E,60,35,45
Preston 007F,25,10,10
Preston 008A,15,10,10
Preston 008B,10,5,5
Preston 008C,15,10,10
Preston 008D,10,5,10
Preston 008E,20,15,20
Preston 009A,45,30,25
Preston 009B,70,50,30
Preston 009C,30,20,15
Preston 009D,35,25,25
Preston 009E,80,45,55
Preston 009F,90,70,55
Preston 010A,15,10,5
Preston 010B,10,5,5
Preston 010C,5,5,0
Preston 010D,30,15,20
Preston 011A,30,20,20
Preston 011B,45,30,45
Preston 011C,40,35,25
Preston 011D,35,40,40
Preston 012A,30,20,20
Preston 012B,35,20,30
Preston 012C,30,35,35
Preston 012D,25,15,20
Preston 012E,20,20,30
Preston 012F,40,30,45
Preston 012G,35,20,30
Preston 013A,20,10,10
Preston 013B,50,35,30
Preston 013C,20,15,15
Preston 013D,20,10,10
Preston 013E,45,20,35
Preston 013F,35,30,25
Preston 013G,15,20,15
Preston 014A,75,55,65
Preston 014B,50,50,35
Preston 014C,90,65,60
Preston 014D,55,35,45
Preston 015A,25,35,35
Preston 015B,60,50,55
Preston 015C,70,65,60
Preston 016A,60,45,45
Preston 016B,55,30,45
Preston 016C,15,10,10
Preston 016D,65,45,45
Preston 016E,30,15,15
Preston 016F,40,25,35
Preston 017A,35,30,30
Preston 017B,75,60,70
Preston 017C,30,20,30
Preston 017D,50,50,40
Preston 017F,50,25,35
Preston 017G,45,35,45
Preston 017H,40,35,35
Column Total,"2,630","1,915","2,000"
,,,
"All data are rounded to the nearest 5 and may not precisely add to the sum of the number of people claiming JSA, published on Nomis, and the number of out-of-work people claiming Universal Credit, published by DWP, due to independent rounding.",,,
