Data supplied by AEA on 8/11/2015
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2014,01:00,0.195004,R,mgm-3,20.100,R,ugm-3 (TEOM FDMS),7.44846,R,ugm-3,44.29478,R,ugm-3,55.71559,R,ugm-3,19.700,R,ugm-3 (TEOM FDMS),12.300,R,ugm-3 (TEOM FDMS),29.20374,R,ugm-3,14.600,R,ugm-3 (TEOM FDMS),1.41560,R,ugm-3,0.400,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS)
01-01-2014,02:00,0.217705,R,mgm-3,21.100,R,ugm-3 (TEOM FDMS),7.88668,R,ugm-3,53.80755,R,ugm-3,65.90029,R,ugm-3,21.000,R,ugm-3 (TEOM FDMS),13.800,R,ugm-3 (TEOM FDMS),20.35614,R,ugm-3,16.400,R,ugm-3 (TEOM FDMS),1.60541,R,ugm-3,0.100,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS)
01-01-2014,03:00,0.246228,R,mgm-3,16.300,R,ugm-3 (TEOM FDMS),13.89087,R,ugm-3,52.58945,R,ugm-3,73.88848,R,ugm-3,14.600,R,ugm-3 (TEOM FDMS),10.000,R,ugm-3 (TEOM FDMS),16.31485,R,ugm-3,13.500,R,ugm-3 (TEOM FDMS),1.76950,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS)
01-01-2014,04:00,0.269221,R,mgm-3,12.600,R,ugm-3 (TEOM FDMS),18.43135,R,ugm-3,62.40535,R,ugm-3,90.66637,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS),12.02409,R,ugm-3,10.200,R,ugm-3 (TEOM FDMS),1.06236,R,ugm-3,1.200,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2014,05:00,0.201116,R,mgm-3,10.300,R,ugm-3 (TEOM FDMS),6.21343,R,ugm-3,46.17349,R,ugm-3,55.70061,R,ugm-3,8.800,R,ugm-3 (TEOM FDMS),4.900,R,ugm-3 (TEOM FDMS),25.34539,R,ugm-3,8.100,R,ugm-3 (TEOM FDMS),0.56544,R,ugm-3,1.500,R,ugm-3 (TEOM FDMS),3.200,R,ugm-3 (TEOM FDMS)
01-01-2014,06:00,0.169682,R,mgm-3,5.300,R,ugm-3 (TEOM FDMS),3.52487,R,ugm-3,37.65521,R,ugm-3,43.05994,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),35.72303,R,ugm-3,4.400,R,ugm-3 (TEOM FDMS),0.99052,R,ugm-3,0.300,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS)
01-01-2014,07:00,0.161242,R,mgm-3,5.000,R,ugm-3 (TEOM FDMS),1.61307,R,ugm-3,22.76258,R,ugm-3,25.23592,R,ugm-3,4.200,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),47.59745,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),0.84949,R,ugm-3,0.800,R,ugm-3 (TEOM FDMS),1.100,R,ugm-3 (TEOM FDMS)
01-01-2014,08:00,0.158331,R,mgm-3,9.100,R,ugm-3 (TEOM FDMS),2.53888,R,ugm-3,32.89213,R,ugm-3,36.78503,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),4.200,R,ugm-3 (TEOM FDMS),38.21766,R,ugm-3,8.800,R,ugm-3 (TEOM FDMS),1.34442,R,ugm-3,3.100,R,ugm-3 (TEOM FDMS),4.600,R,ugm-3 (TEOM FDMS)
01-01-2014,09:00,0.184235,R,mgm-3,8.800,R,ugm-3 (TEOM FDMS),2.77805,R,ugm-3,36.52636,R,ugm-3,40.78598,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),32.18066,R,ugm-3,6.500,R,ugm-3 (TEOM FDMS),1.55663,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS)
01-01-2014,10:00,0.158331,R,mgm-3,9.100,R,ugm-3 (TEOM FDMS),2.83792,R,ugm-3,30.66024,R,ugm-3,35.01166,R,ugm-3,7.600,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),38.06798,R,ugm-3,4.900,R,ugm-3 (TEOM FDMS),1.84068,R,ugm-3,1.500,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS)
01-01-2014,11:00,0.149891,R,mgm-3,8.700,R,ugm-3 (TEOM FDMS),2.89748,R,ugm-3,29.43242,R,ugm-3,33.87516,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),39.06583,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),1.55796,R,ugm-3,2.900,R,ugm-3 (TEOM FDMS),4.700,R,ugm-3 (TEOM FDMS)
01-01-2014,12:00,0.149600,R,mgm-3,5.500,R,ugm-3 (TEOM FDMS),2.00161,R,ugm-3,21.39370,R,ugm-3,24.46279,R,ugm-3,0.500,R,ugm-3 (TEOM FDMS),-2.300,R,ugm-3 (TEOM FDMS),50.79057,R,ugm-3,4.400,R,ugm-3 (TEOM FDMS),1.27457,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS)
