Data supplied by AEA on 22/1/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2016,01:00,25.800,P,ugm-3 (TEOM FDMS),17.83639,P,ugm-3,36.14625,P,ugm-3,63.49500,P,ugm-3,28.700,P,ugm-3 (TEOM FDMS),17.500,P,ugm-3 (TEOM FDMS),17.100,P,ugm-3 (TEOM FDMS),-2.900,P,ugm-3 (TEOM FDMS),-0.400,P,ugm-3 (TEOM FDMS)
01-01-2016,02:00,21.000,P,ugm-3 (TEOM FDMS),20.08153,P,ugm-3,29.07000,P,ugm-3,59.86125,P,ugm-3,21.200,P,ugm-3 (TEOM FDMS),12.100,P,ugm-3 (TEOM FDMS),14.000,P,ugm-3 (TEOM FDMS),-0.200,P,ugm-3 (TEOM FDMS),1.900,P,ugm-3 (TEOM FDMS)
01-01-2016,03:00,23.200,P,ugm-3 (TEOM FDMS),35.54805,P,ugm-3,43.41375,P,ugm-3,97.92000,P,ugm-3,25.000,P,ugm-3 (TEOM FDMS),13.100,P,ugm-3 (TEOM FDMS),12.700,P,ugm-3 (TEOM FDMS),-1.800,P,ugm-3 (TEOM FDMS),-0.400,P,ugm-3 (TEOM FDMS)
01-01-2016,04:00,26.300,P,ugm-3 (TEOM FDMS),42.28347,P,ugm-3,50.29875,P,ugm-3,115.13250,P,ugm-3,25.300,P,ugm-3 (TEOM FDMS),14.500,P,ugm-3 (TEOM FDMS),16.300,P,ugm-3 (TEOM FDMS),1.000,P,ugm-3 (TEOM FDMS),1.800,P,ugm-3 (TEOM FDMS)
01-01-2016,05:00,27.300,P,ugm-3 (TEOM FDMS),35.54805,P,ugm-3,44.75250,P,ugm-3,99.25875,P,ugm-3,24.700,P,ugm-3 (TEOM FDMS),16.700,P,ugm-3 (TEOM FDMS),18.500,P,ugm-3 (TEOM FDMS),2.600,P,ugm-3 (TEOM FDMS),1.800,P,ugm-3 (TEOM FDMS)
01-01-2016,06:00,24.400,P,ugm-3 (TEOM FDMS),27.44060,P,ugm-3,46.85625,P,ugm-3,88.93125,P,ugm-3,22.500,P,ugm-3 (TEOM FDMS),15.600,P,ugm-3 (TEOM FDMS),15.500,P,ugm-3 (TEOM FDMS),1.900,P,ugm-3 (TEOM FDMS),-0.100,P,ugm-3 (TEOM FDMS)
01-01-2016,07:00,20.400,P,ugm-3 (TEOM FDMS),26.19330,P,ugm-3,47.43000,P,ugm-3,87.59250,P,ugm-3,20.200,P,ugm-3 (TEOM FDMS),11.200,P,ugm-3 (TEOM FDMS),11.700,P,ugm-3 (TEOM FDMS),0.200,P,ugm-3 (TEOM FDMS),0.500,P,ugm-3 (TEOM FDMS)
01-01-2016,08:00,20.200,P,ugm-3 (TEOM FDMS),44.15442,P,ugm-3,41.31000,P,ugm-3,109.01250,P,ugm-3,18.000,P,ugm-3 (TEOM FDMS),13.100,P,ugm-3 (TEOM FDMS),15.100,P,ugm-3 (TEOM FDMS),2.200,P,ugm-3 (TEOM FDMS),2.000,P,ugm-3 (TEOM FDMS)
01-01-2016,09:00,20.500,P,ugm-3 (TEOM FDMS),46.77375,P,ugm-3,48.00375,P,ugm-3,119.72250,P,ugm-3,17.600,P,ugm-3 (TEOM FDMS),9.400,P,ugm-3 (TEOM FDMS),10.500,P,ugm-3 (TEOM FDMS),2.900,P,ugm-3 (TEOM FDMS),1.100,P,ugm-3 (TEOM FDMS)
01-01-2016,10:00,16.700,P,ugm-3 (TEOM FDMS),39.53941,P,ugm-3,49.34250,P,ugm-3,109.96875,P,ugm-3,15.000,P,ugm-3 (TEOM FDMS),9.600,P,ugm-3 (TEOM FDMS),11.100,P,ugm-3 (TEOM FDMS),1.700,P,ugm-3 (TEOM FDMS),1.500,P,ugm-3 (TEOM FDMS)
01-01-2016,11:00,18.400,P,ugm-3 (TEOM FDMS),39.04049,P,ugm-3,52.78500,P,ugm-3,112.64625,P,ugm-3,14.500,P,ugm-3 (TEOM FDMS),8.900,P,ugm-3 (TEOM FDMS),13.600,P,ugm-3 (TEOM FDMS),3.900,P,ugm-3 (TEOM FDMS),4.700,P,ugm-3 (TEOM FDMS)
01-01-2016,12:00,22.200,P,ugm-3 (TEOM FDMS),38.91576,P,ugm-3,37.29375,P,ugm-3,96.96375,P,ugm-3,19.000,P,ugm-3 (TEOM FDMS),10.300,P,ugm-3 (TEOM FDMS),14.400,P,ugm-3 (TEOM FDMS),3.200,P,ugm-3 (TEOM FDMS),4.100,P,ugm-3 (TEOM FDMS)
01-01-2016,13:00,21.800,P,ugm-3 (TEOM FDMS),27.93952,P,ugm-3,35.38125,P,ugm-3,78.22125,P,ugm-3,18.500,P,ugm-3 (TEOM FDMS),12.800,P,ugm-3 (TEOM FDMS),15.900,P,ugm-3 (TEOM FDMS),3.300,P,ugm-3 (TEOM FDMS),3.100,P,ugm-3 (TEOM FDMS)
01-01-2016,14:00,18.900,P,ugm-3 (TEOM FDMS),30.05993,P,ugm-3,34.99875,P,ugm-3,81.09000,P,ugm-3,13.900,P,ugm-3 (TEOM FDMS),8.600,P,ugm-3 (TEOM FDMS),13.200,P,ugm-3 (TEOM FDMS),5.000,P,ugm-3 (TEOM FDMS),4.600,P,ugm-3 (TEOM FDMS)
