Daily Mean data          supplied by UK-air on 22/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 All Data are GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,Leeds Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,PM10 particulate matter (Hourly measured),status/unit,Nitric oxide,status/unit,Nitrogen dioxide,status/unit,Nitrogen oxides as nitrogen dioxide,status/unit,Non-volatile PM10 (Hourly measured),status/unit,Non-volatile PM2.5 (Hourly measured),status/unit,PM2.5 particulate matter (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM2.5 (Hourly measured),status/unit,Carbon monoxide,status/unit,PM10 particulate matter (Hourly measured),status/unit,Nitric oxide,status/unit,Nitrogen dioxide,status/unit,Nitrogen oxides as nitrogen dioxide,status/unit,Non-volatile PM10 (Hourly measured),status/unit,Non-volatile PM2.5 (Hourly measured),status/unit,Ozone,status/unit,PM2.5 particulate matter (Hourly measured),status/unit,Sulphur dioxide,status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM2.5 (Hourly measured),status/unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/10,14,V ugm-3 (TEOM FDMS),59,V ugm-3,42,V ugm-3,133,V ugm-3,11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.49,V mgm-3,7,V ugm-3 (TEOM FDMS),9,V ugm-3,22,V ugm-3,35,V ugm-3,5,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),45,V ugm-3,6,V ugm-3 (TEOM FDMS),0,V ugm-3,2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
02/12/10,18,V ugm-3 (TEOM FDMS),79,V ugm-3,58,V ugm-3,179,V ugm-3,15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.46,V mgm-3,10,V ugm-3 (TEOM FDMS),9,V ugm-3,29,V ugm-3,43,V ugm-3,8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),42,V ugm-3,8,V ugm-3 (TEOM FDMS),2,V ugm-3,2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
03/12/10,25,V ugm-3 (TEOM FDMS),95,V ugm-3,84,V ugm-3,229,V ugm-3,20,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),0.64,V mgm-3,23,V ugm-3 (TEOM FDMS),48,V ugm-3,68,V ugm-3,142,V ugm-3,18,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),13,V ugm-3,21,V ugm-3 (TEOM FDMS),4,V ugm-3,5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
04/12/10,27,V ugm-3 (TEOM FDMS),92,V ugm-3,77,V ugm-3,217,V ugm-3,21,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),0.64,V mgm-3,27,V ugm-3 (TEOM FDMS),60,V ugm-3,69,V ugm-3,160,V ugm-3,21,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),9,V ugm-3,24,V ugm-3 (TEOM FDMS),4,V ugm-3,6,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
05/12/10,16,V ugm-3 (TEOM FDMS),39,V ugm-3,52,V ugm-3,112,V ugm-3,13,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),0.5,V mgm-3,16,V ugm-3 (TEOM FDMS),13,V ugm-3,39,V ugm-3,59,V ugm-3,12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),31,V ugm-3,14,V ugm-3 (TEOM FDMS),3,V ugm-3,4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
06/12/10,34,V ugm-3 (TEOM FDMS),171,V ugm-3,102,V ugm-3,363,V ugm-3,29,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),1.2,V mgm-3,39,V ugm-3 (TEOM FDMS),132,V ugm-3,95,V ugm-3,297,V ugm-3,34,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),9,V ugm-3,32,V ugm-3 (TEOM FDMS),6,V ugm-3,5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
07/12/10,29,V ugm-3 (TEOM FDMS),144,V ugm-3,92,V ugm-3,312,V ugm-3,25,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),0.66,V mgm-3,25,V ugm-3 (TEOM FDMS),51,V ugm-3,63,V ugm-3,141,V ugm-3,20,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),20,V ugm-3,21,V ugm-3 (TEOM FDMS),4,V ugm-3,5,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
