Area Codes,Area Names,,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E07000123,Preston,,"140,452","1,910","1,847","1,768","1,916","1,893","1,891","1,828","1,759","1,755","1,612","1,606","1,487","1,492","1,517","1,486","1,582","1,614","1,713","1,792","2,574","3,003","3,319","3,100","2,799","2,544","2,282","2,204","1,974","1,994","1,982","2,044","1,899","1,838","1,857","1,955","1,850","1,520","1,588","1,662","1,595","1,712","1,847","1,838","1,861","1,927","1,911","1,981","1,891","1,839","1,910","1,875","1,922","1,913","1,778","1,690","1,604","1,526","1,565","1,500","1,362","1,341","1,376","1,294","1,328","1,289","1,316","1,347","1,398","1,050","1,010","1,039",997,881,846,869,840,880,766,771,744,676,621,592,553,500,418,371,305,319,279,933
E01025278,,Preston 001A,"2,537",26,30,23,40,41,42,42,41,35,40,23,27,34,28,35,27,30,32,19,19,33,38,26,21,28,28,27,22,16,18,20,23,23,27,34,25,22,34,26,33,31,36,40,35,46,40,44,52,34,41,53,36,33,24,35,31,24,34,21,17,30,32,28,25,24,36,43,31,36,35,26,34,24,21,18,19,23,16,21,23,13,9,16,14,15,5,7,9,7,5,27
E01025279,,Preston 001B,"1,926",9,11,16,6,16,14,22,23,19,14,26,23,24,23,33,23,18,33,24,23,25,21,21,21,23,23,6,10,9,7,16,14,13,16,11,16,9,9,22,12,21,23,37,30,32,26,37,39,38,42,47,47,37,42,23,33,27,28,30,31,28,29,24,24,29,26,31,27,24,25,31,22,26,26,17,16,17,15,12,12,11,7,11,9,7,7,7,2,7,2,21
E01025282,,Preston 001C,"1,405",13,16,14,18,16,19,15,18,23,9,15,21,19,17,13,17,10,9,15,15,9,16,13,12,18,15,15,9,15,8,9,10,11,8,15,19,7,11,16,15,7,19,17,15,15,23,24,24,24,19,22,18,25,22,16,30,13,19,17,31,14,25,13,18,25,35,25,28,19,15,18,9,10,11,14,12,16,15,10,12,8,7,12,7,8,2,6,6,8,7,27
E01025257,,Preston 002A,"1,331",10,7,6,12,9,15,20,16,15,14,17,12,14,15,20,9,18,22,10,12,14,18,20,19,12,13,7,7,8,9,8,2,8,5,11,10,4,15,11,15,9,15,15,18,19,14,24,24,24,28,29,26,30,20,28,15,27,27,31,31,20,19,10,30,20,16,23,36,12,13,23,7,16,14,15,12,21,11,9,8,9,12,11,9,4,0,0,1,2,2,3
E01025277,,Preston 002B,"1,737",15,15,10,14,16,20,17,10,28,21,20,13,14,20,13,25,24,23,21,13,17,14,18,17,17,18,22,9,9,14,12,10,11,13,17,10,11,10,17,11,25,18,18,31,24,32,32,22,29,32,16,24,22,26,23,30,24,26,22,19,22,29,22,27,24,32,36,31,22,21,36,16,18,22,20,23,23,9,21,25,10,16,18,12,10,17,9,9,9,6,18
E01025280,,Preston 002C,"1,771",10,18,9,12,20,22,13,10,21,22,22,23,29,21,18,18,21,16,20,24,19,15,27,21,22,21,18,16,9,8,11,17,10,22,19,12,8,15,7,13,16,29,25,33,30,34,29,34,37,33,31,34,39,36,36,31,25,44,33,24,22,26,35,24,24,22,21,21,23,22,17,14,9,17,13,17,20,8,16,14,6,7,8,8,8,6,9,2,3,5,12
E01025281,,Preston 002D,"1,496",9,12,15,15,15,22,10,16,25,15,20,19,22,21,23,20,16,17,16,9,9,14,13,14,18,14,13,10,9,7,8,7,7,3,7,11,9,15,16,16,20,20,17,27,29,25,26,19,20,25,28,29,34,21,21,30,21,23,21,20,18,16,13,22,27,13,25,30,21,26,26,23,16,15,13,17,24,12,16,13,9,4,12,12,3,7,4,6,5,6,9
E01025256,,Preston 003A,"1,563",19,7,14,14,21,22,13,22,19,20,21,14,16,15,19,15,20,21,13,21,15,35,25,32,21,6,15,11,12,9,12,6,15,12,16,20,15,22,18,20,20,19,21,15,24,25,32,26,21,27,12,22,18,19,22,18,21,13,10,14,27,14,20,16,22,21,15,19,15,22,13,17,13,11,19,14,25,8,22,14,14,9,10,4,12,7,17,14,8,6,33
E01025258,,Preston 003B,"1,479",9,6,16,9,12,12,18,13,15,8,13,18,10,12,20,15,16,18,17,20,15,22,14,15,15,12,20,13,13,11,12,15,11,15,10,14,18,15,15,16,15,13,18,20,11,22,17,21,27,24,23,27,31,23,17,21,15,14,17,15,13,12,13,17,20,23,21,28,25,18,23,27,13,21,21,17,17,25,21,29,14,13,14,12,9,10,10,9,4,5,16
E01025259,,Preston 003C,"1,998",16,18,19,17,22,24,25,17,18,19,16,23,18,26,26,23,28,18,26,22,31,31,36,18,19,23,15,11,12,13,18,10,17,13,23,19,16,32,17,24,25,30,30,32,23,27,32,38,27,34,28,38,40,38,28,39,29,28,24,16,22,27,26,23,22,35,34,35,30,27,21,20,21,16,21,8,23,17,24,19,13,8,10,13,9,11,8,7,5,7,11
E01025299,,Preston 003D,"1,424",10,11,10,14,12,15,14,18,16,15,14,13,12,13,23,7,22,14,18,12,29,12,12,17,26,17,7,8,12,11,12,5,13,6,11,13,11,18,26,21,18,19,12,27,29,32,26,28,29,27,16,15,10,17,27,23,10,24,22,13,15,24,13,18,18,19,28,25,19,16,25,19,20,16,14,8,12,11,13,17,7,8,6,15,10,5,4,4,3,5,13
E01025301,,Preston 003E,"1,158",8,12,8,15,18,11,19,19,14,13,22,12,13,18,15,12,13,16,18,12,24,9,17,12,18,11,23,17,15,10,13,17,6,13,6,13,18,12,21,22,20,15,20,30,28,21,16,24,22,20,23,21,22,18,15,12,13,14,16,12,12,8,13,11,7,18,10,14,4,6,14,4,6,4,7,8,5,5,3,1,9,12,2,1,1,1,1,0,0,0,4
E01025302,,Preston 003F,"1,237",10,10,10,16,13,14,10,13,13,10,15,17,15,7,14,10,20,13,17,5,11,12,6,13,13,11,13,13,9,11,16,12,15,16,14,20,12,14,9,18,13,16,21,12,20,19,14,16,16,26,12,17,15,15,17,18,32,15,18,24,13,10,17,19,13,18,21,19,14,12,18,11,10,8,11,21,11,13,8,8,8,17,6,8,9,7,4,5,8,7,17
E01025253,,Preston 004A,"1,821",29,34,25,26,23,39,32,30,32,26,24,22,30,19,26,29,23,27,21,17,18,14,22,15,21,29,20,22,28,21,26,24,28,34,31,30,28,37,24,30,35,32,34,43,33,34,32,36,36,27,35,36,40,26,34,25,25,23,18,17,20,18,14,8,9,14,12,11,7,7,3,7,6,3,2,4,2,4,4,1,1,1,0,0,2,1,0,1,0,0,2
E01025254,,Preston 004B,"1,165",14,6,8,11,8,9,9,11,8,17,15,10,13,18,14,13,17,13,9,9,24,10,13,16,7,10,10,6,11,8,9,11,6,17,13,7,10,8,10,10,16,17,14,19,20,19,20,23,23,21,27,26,29,18,27,12,14,19,15,17,9,14,16,12,5,9,13,20,14,11,6,19,8,11,5,12,10,7,5,14,12,14,4,6,8,6,2,6,8,8,27
E01025255,,Preston 004C,"1,614",16,26,30,25,35,25,32,22,26,22,16,21,21,33,23,21,22,25,25,13,16,26,17,20,17,21,17,14,15,21,16,26,16,26,25,21,16,23,24,24,22,38,28,25,36,34,34,33,27,35,31,19,15,32,21,26,24,23,13,7,14,10,11,25,10,11,17,12,14,8,5,7,2,3,5,5,5,4,4,4,6,2,4,7,2,2,1,4,2,2,3
E01025300,,Preston 004D,"1,097",5,4,6,7,0,4,9,4,4,5,13,5,4,7,6,8,4,7,5,6,8,18,19,19,19,10,9,9,7,9,8,15,7,9,8,12,9,9,12,13,10,11,15,10,12,10,16,16,14,17,12,20,21,21,13,18,16,12,11,13,12,15,19,10,18,12,16,21,10,9,10,14,18,11,8,9,15,18,18,14,12,11,17,16,25,10,10,7,14,8,60
