LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2012 (excluding prisoners),Dependent Children aged 0-15: mid 2012 (excluding prisoners),Population aged 16-59: mid 2012 (excluding prisoners),Older population aged 60 and over: mid 2012 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01025278,Preston 001A,E07000123,Preston,4.669,30635,10,0.034,30977,10,0.035,31086,10,2.106,30842,10,-0.522,23522,8,-0.724,26687,9,20.559,16087,5,12.387,21018,7,0.031,31174,10,0.051,30564,10,-1.196,30674,10,0.175,29211,9,0.742,5379,2,-3.914,31468,10,-0.322,21122,7,0.045,15335,5,2533,517,1368,648,1397.75
E01025279,Preston 001B,E07000123,Preston,13.41,20253,7,0.043,29317,9,0.042,29780,10,3.81,28804,9,-0.114,17846,6,-0.987,29258,9,38.8,2488,1,44.616,3414,2,0.036,30492,10,0.068,28072,9,-1.717,32414,10,0.232,23774,8,1.779,734,1,-4.571,32171,10,1.406,1673,1,-0.558,24319,8,1938,327,1071,540,1097.25
E01025282,Preston 001C,E07000123,Preston,27.375,9525,3,0.109,17094,6,0.24,2887,1,3.95,28631,9,1.621,1243,1,-0.313,21261,7,11.644,26989,9,13.858,19583,6,0.029,31409,10,0.084,25295,8,-1.067,29837,10,0.216,25517,8,0.209,12287,4,-3.757,31203,10,0.032,16066,5,-0.372,21782,7,1398,245,720,433,745
E01025257,Preston 002A,E07000123,Preston,4.103,31175,10,0.03,31595,10,0.033,31464,10,0.678,32404,10,-0.424,22237,7,-0.492,23770,8,21.246,15251,5,3.918,30423,10,0.049,28775,9,0.04,31767,10,-2.249,32806,10,0.143,30977,10,0.803,4851,2,-5.349,32624,10,-1.601,31770,10,-0.313,20885,7,1341,220,757,364,775
E01025277,Preston 002B,E07000123,Preston,7.169,27786,9,0.046,28692,9,0.057,26053,8,2.116,30830,10,0.082,14905,5,-0.547,24477,8,14.702,23435,8,16.639,17128,6,0.045,29295,9,0.063,28827,9,-1.371,31459,10,0.184,28456,9,0.401,9284,3,-3.825,31312,10,-0.418,22429,7,0.6,7619,3,1731,262,840,629,870.5
E01025280,Preston 002C,E07000123,Preston,10.91,23101,8,0.049,28045,9,0.039,30461,10,1.677,31330,10,-0.378,21623,7,-0.783,27330,9,34.986,4029,2,37.078,5723,2,0.043,29531,9,0.106,21862,7,-1.463,31795,10,0.174,29266,9,1.57,1239,1,-3.78,31244,10,1.033,3892,2,0.052,15228,5,1792,296,1068,428,1076.75
E01025281,Preston 002D,E07000123,Preston,6.44,28656,9,0.033,31178,10,0.038,30650,10,1.228,31813,10,-0.489,23112,8,-1.043,29698,10,28.358,8047,3,18.177,15986,5,0.046,29089,9,0.04,31740,10,-1.629,32231,10,0.162,30037,10,1.205,2445,1,-4.71,32286,10,0.056,15716,5,0.211,12770,4,1513,275,778,460,792.25
E01025256,Preston 003A,E07000123,Preston,6.125,29040,9,0.055,26772,9,0.047,28452,9,2.389,30510,10,-0.168,18611,6,-1.063,29876,10,4.073,32399,10,24.552,11682,4,0.036,30508,10,0.112,20944,7,-2.275,32814,10,0.205,26629,9,-0.904,28940,9,-1.996,26026,8,0.31,11944,4,0.459,9355,3,1527,273,771,483,788
E01025258,Preston 003B,E07000123,Preston,4.36,30931,10,0.04,30011,10,0.05,27931,9,5.092,27234,9,-0.275,20244,7,-0.856,28076,9,8.973,29762,10,7.749,26129,8,0.045,29280,9,0.05,30739,10,-1.129,30253,10,0.241,22746,7,-0.006,15906,5,-3.449,30632,10,-0.71,25978,8,-0.172,18799,6,1490,217,745,528,748.5
E01025259,Preston 003C,E07000123,Preston,5.541,29690,10,0.049,28030,9,0.068,22984,7,3.003,29793,10,-0.262,20052,7,-1.589,32248,10,1.31,32816,10,13.649,19779,7,0.074,24779,8,0.053,30261,10,-1.232,30839,10,0.203,26841,9,-0.977,29543,9,-5.11,32534,10,-0.441,22763,7,0.328,11118,4,2054,356,1115,583,1125.25
